ReplyID,Reply_1,Reply_2,Reply_3,Reply_4,Reply_5,Reply_6,Reply_7,Reply_8,Reply_9,Reply_10
7,False,False,True,False,True,False,True,True,False,False
8,False,False,False,False,False,False,False,False,False,True
9,True,False,False,False,False,True,False,True,False,False
10,False,True,True,True,True,True,True,False,True,False
11,False,True,False,False,False,False,False,True,True,True
12,False,True,False,False,True,False,False,False,False,True
13,False,True,False,False,False,False,False,False,True,True
14,False,True,False,False,False,False,False,True,False,True
15,False,False,True,False,False,False,False,True,False,False
16,False,True,False,False,False,False,False,True,True,True
17,False,True,False,False,True,False,False,True,False,True
18,False,False,False,False,True,False,False,True,True,True
19,True,False,False,True,True,True,False,False,True,False
20,False,True,False,False,False,False,False,True,False,True
21,False,False,False,False,False,False,False,False,False,True
22,False,False,False,False,False,False,False,False,True,True
23,False,True,False,False,False,False,False,True,False,True
24,False,True,False,False,False,False,False,True,False,True
25,False,False,True,True,True,False,False,False,False,True
26,False,True,False,False,False,False,False,True,True,False
27,True,False,False,False,True,False,False,True,True,False
28,True,False,True,False,False,False,False,True,True,False
29,False,False,False,False,False,False,False,False,False,True
30,False,False,True,False,False,False,False,True,False,False
31,False,False,True,False,False,False,False,True,False,True
32,False,True,False,False,False,False,False,True,True,True
33,False,False,True,False,False,False,False,True,False,False
34,False,True,False,False,True,False,False,True,False,False
35,False,True,False,False,True,False,False,True,False,False
36,False,False,True,True,True,True,True,False,True,False
37,False,True,False,False,True,False,False,False,False,True
38,True,True,True,False,True,False,False,False,True,False
39,False,True,False,False,False,False,False,True,True,False
40,False,False,False,False,False,False,False,True,False,True
41,True,False,False,False,False,False,False,True,False,True
42,False,True,True,False,False,False,False,False,False,False
43,False,False,False,False,True,False,False,False,False,False
44,False,False,False,False,False,False,False,True,False,True
45,False,False,True,False,True,False,False,True,False,False
46,True,False,False,False,True,False,False,False,True,True
