ReplyID,Reply_1,Reply_2,Reply_3,Reply_4,Reply_5,Reply_6,Reply_7,Reply_8,Reply_9,Reply_10
7,0,0,1,0,1,0,1,1,0,0
8,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,1,0,1,0,0
10,0,1,1,1,1,1,1,0,1,0
11,0,1,0,0,0,0,0,1,1,1
12,0,1,0,0,1,0,0,0,0,1
13,0,1,0,0,0,0,0,0,1,1
14,0,1,0,0,0,0,0,1,0,1
15,0,0,1,0,0,0,0,1,0,0
16,0,1,0,0,0,0,0,1,1,1
17,0,1,0,0,1,0,0,1,0,1
18,0,0,0,0,1,0,0,1,1,1
19,1,0,0,1,1,1,0,0,1,0
20,0,1,0,0,0,0,0,1,0,1
21,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1,1
23,0,1,0,0,0,0,0,1,0,1
24,0,1,0,0,0,0,0,1,0,1
25,0,0,1,1,1,0,0,0,0,1
26,0,1,0,0,0,0,0,1,1,0
27,1,0,0,0,1,0,0,1,1,0
28,1,0,1,0,0,0,0,1,1,0
29,0,0,0,0,0,0,0,0,0,1
30,0,0,1,0,0,0,0,1,0,0
31,0,0,1,0,0,0,0,1,0,1
32,0,1,0,0,0,0,0,1,1,1
33,0,0,1,0,0,0,0,1,0,0
34,0,1,0,0,1,0,0,1,0,0
35,0,1,0,0,1,0,0,1,0,0
36,0,0,1,1,1,1,1,0,1,0
37,0,1,0,0,1,0,0,0,0,1
38,1,1,1,0,1,0,0,0,1,0
39,0,1,0,0,0,0,0,1,1,0
40,0,0,0,0,0,0,0,1,0,1
41,1,0,0,0,0,0,0,1,0,1
42,0,1,1,0,0,0,0,0,0,0
43,0,0,0,0,1,0,0,0,0,0
44,0,0,0,0,0,0,0,1,0,1
45,0,0,1,0,1,0,0,1,0,0
46,1,0,0,0,1,0,0,0,1,1
